,北京,上海,天津,重庆,黑龙江,吉林,辽宁,内蒙古,河北,山西,山东,河南,陕西,甘肃,宁夏,青海,新疆,安徽,江苏,浙江,湖南,江西,湖北,四川,贵州,福建,台湾,广东,海南,广西,云南,西藏,香港,澳门,武汉
湖北,1047.7088303619114,685.0930393506926,981.31761605969,762.9742483019972,1992.0356031999925,1759.7352405144763,1484.9819175976631,1154.8627835193556,822.7921143587857,820.7784750431808,711.1106486029196,467.9113527241792,652.8718749465996,1149.9358574285293,1132.2151212228036,1344.474540139298,2770.0296885247576,312.5323674620964,454.6601205328845,558.7756208563001,299.85244580308284,259.78078510491787,0.0,983.9062852391351,871.2539208164027,698.338061560427,937.0859877648901,836.3269806945693,1239.888698859467,1052.388881886975,1306.1397811091626,2232.2356607779666,921.636262401836,934.088338334293,0.0
四川,1521.1792879416953,1662.3281759286624,1521.2760535298873,266.63760286254063,2577.4917257782595,2375.1447968947264,2125.951987929458,1325.253077058562,1256.8881386638325,1117.61584213286,1367.9967158986715,1011.5026445138037,604.7784158236739,599.4328547760414,875.5162991171253,697.9874652884904,2058.817352143187,1265.1558848632521,1410.8763027199545,1542.6817556993576,907.1641946793402,1160.7603466284918,983.9062852391351,0.0,518.2350006387588,1573.5190133000474,1823.2889339007734,1233.1195416245243,1333.0970606360586,966.8596551662745,641.1069430315495,1248.3680655743142,1364.9698528880322,1327.2204586593225,983.9062852391351
贵州,1732.2709377564283,1529.4899773179063,1701.635394850529,327.3307320447649,2768.664987843942,2546.797687145588,2278.487542533801,1647.198664129216,1463.9172669180575,1367.1694075151922,1480.249100190083,1130.4338567239074,877.5309751961082,1084.747378702426,1303.666207483244,1208.7920272573222,2570.6179130809405,1183.604969261287,1323.2695838679508,1377.5703209572675,647.8024931682108,933.8432594173457,871.2539208164027,518.2350006387588,0.0,1258.6139253463873,1494.526202202344,764.1733022481623,814.9207680378388,450.4764897457406,439.3441940919396,1562.553218795548,893.1813507940798,846.3145877165075,871.2539208164027
福建,1554.8216715962783,609.3298939821858,1462.5124643426125,1313.90347527114,2279.1909725905953,2046.5198888325701,1787.0813310940207,1774.8982777391373,1400.933572309737,1452.2702420183448,1189.9257089368418,1105.4250135772438,1349.8939758774418,1841.0781646829987,1827.7597740406356,2033.200081038571,3465.8158633073226,668.173139018309,661.0430267209463,467.4222298788809,666.3851417988677,445.3065401329149,698.338061560427,1573.5190133000474,1258.6139253463873,0.0,250.42362828284183,694.2213006345281,1136.5728255912657,1169.4830125177,1673.197358153793,2791.786362137876,668.8981741312596,724.3467417687277,698.338061560427
台湾,1713.0567489713587,685.2593108156044,1615.599793221502,1562.8015426354425,2342.865444960482,2115.7836912379084,1869.6148081342596,1967.5011246908134,1586.3159748185296,1654.181215402647,1354.4675229877398,1317.1421054282553,1589.9519113592437,2085.015843365853,2058.2211740001285,2278.176918437307,3707.1151596181885,859.1550850088065,817.1936903765455,589.9890388923643,916.151194046275,690.6932199530422,937.0859877648901,1823.2889339007734,1494.526202202344,250.42362828284183,0.0,866.7658591689586,1276.749654746411,1364.5266283965982,1899.3051228451948,3037.1202765772014,809.0628713468645,871.1476956384483,937.0859877648901
广东,1883.6815959072935,1212.021185177378,1814.4988497942632,975.4575991973015,2787.2559151835694,2551.9480587986222,2278.643592963134,1965.6109801270204,1655.9636786134768,1634.6969736520955,1539.3379681966928,1293.8403128928962,1304.6806839097944,1696.398924431456,1811.514392660167,1860.4298526910568,3281.2727369091285,1045.2725965594893,1129.349671944145,1043.7102674529363,560.0175667442161,668.3610398068438,836.3269806945693,1233.1195416245243,764.1733022481623,694.2213006345281,866.7658591689586,0.0,457.1864059771615,505.5177714699552,1094.0065633289485,2314.6748586299373,131.85105546455932,106.08948444418188,836.3269806945693
海南,2278.975814943442,1669.102562260359,2218.730447928568,1120.044958747474,3221.9926274207705,2987.5307643471297,2713.0220550431454,2308.365075750443,2034.7227780336543,1988.4106968975275,1950.986969801962,1669.5367829684121,1583.512470876189,1885.798481701847,2066.0183534294424,2020.7696526492741,3377.383241483288,1482.4999056044137,1576.876758155199,1500.6452531560828,942.428885324333,1110.0498993693386,1239.888698859467,1333.0970606360586,814.9207680378388,1136.5728255912657,1276.749654746411,457.1864059771615,0.0,369.89777789417195,959.8133851189689,2206.9750149230317,470.56991466044593,412.40162396763156,1239.888698859467
广西,2045.5278511700399,1602.8809506560913,1997.58973536005,767.3514727594999,3039.2193214145427,2808.730191694031,2534.519246443772,2024.1351106534796,1787.4791340915567,1718.630715567783,1745.7150882371013,1428.8027034049985,1272.0543330093772,1532.1481668530325,1733.3410217940657,1659.2645849808455,3007.4869621327307,1337.8637868710628,1456.0478948524212,1435.6916212376852,758.629499620084,997.5676617786394,1052.388881886975,966.8596551662745,450.4764897457406,1169.4830125177,1364.5266283965982,505.5177714699552,369.89777789417195,0.0,624.7249125761521,1873.6409201729355,602.5206113760464,540.5859130417654,1052.388881886975
云南,2094.4290854561123,1968.8205871464438,2076.6945782636462,630.492493542822,3146.6001003146066,2931.7050829383165,2669.170354510566,1947.696304768136,1824.3914404464358,1705.7788287670874,1877.2876323564356,1518.526118796079,1189.9119701606687,1229.8253192437353,1516.622360303136,1292.8325471862972,2495.5167333012814,1618.6257783815392,1759.8705765402246,1816.609072086958,1086.0113494496895,1371.4770457300058,1306.1397811091626,641.1069430315495,439.3441940919396,1673.197358153793,1899.3051228451948,1094.0065633289485,959.8133851189689,624.7249125761521,0.0,1250.6356752349052,1208.6760817793945,1150.64532600361,1306.1397811091626
西藏,2566.5911418123733,2907.9582100280663,2600.944314789648,1487.5609552559044,3562.860315988086,3398.6918762862497,3187.8055553114505,2239.7694865020785,2339.122242531081,2174.228172690794,2521.8011521188023,2193.485149095704,1749.4295169746756,1377.7616301675218,1690.527038456539,1252.3272568222626,1600.0295908224143,2507.7544117626476,2652.1566181315075,2791.0037499101163,2132.1376037191653,2400.611631173919,2232.2356607779666,1248.3680655743142,1562.553218795548,2791.786362137876,3037.1202765772014,2314.6748586299373,2206.9750149230317,1873.6409201729355,1250.6356752349052,0.0,2437.9620062827585,2384.0324420148586,2232.2356607779666
香港,1963.500779750247,1227.7098435977666,1890.0166069648778,1107.0523829286233,2838.434304517034,2602.876705384335,2331.4231027168657,2065.223794843337,1744.4140714037492,1732.4733136175857,1612.1536393545025,1386.1318044297625,1422.6594241081616,1823.8187899881773,1931.0204630779556,1989.6237353835227,3412.363454382081,1102.7119212487655,1173.1103884888535,1062.420669688292,662.2383315526979,727.4808611977494,921.636262401836,1364.9698528880322,893.1813507940798,668.8981741312596,809.0628713468645,131.85105546455932,470.56991466044593,602.5206113760464,1208.6760817793945,2437.9620062827585,0.0,64.22863873767128,921.636262401836
澳门,1979.971010275277,1272.272491508462,1908.890967424966,1072.5359236126847,2869.841527716589,2634.334168522641,2361.9475708645045,2068.983462083095,1755.6007619904478,1737.4641625687284,1632.3614448890628,1394.6895185987532,1410.753921544064,1799.7793366659625,1917.4687511356854,1962.1742966501122,3379.481050480786,1130.1614229749068,1206.7955327129519,1105.6732260885165,663.2834379188045,753.2562462077287,934.088338334293,1327.2204586593225,846.3145877165075,724.3467417687277,871.1476956384483,106.08948444418188,412.40162396763156,540.5859130417654,1150.64532600361,2384.0324420148586,64.22863873767128,0.0,934.088338334293
武汉,1047.7088303619114,685.0930393506926,981.31761605969,762.9742483019972,1992.0356031999925,1759.7352405144763,1484.9819175976631,1154.8627835193556,822.7921143587857,820.7784750431808,711.1106486029196,467.9113527241792,652.8718749465996,1149.9358574285293,1132.2151212228036,1344.474540139298,2770.0296885247576,312.5323674620964,454.6601205328845,558.7756208563001,299.85244580308284,259.78078510491787,0.0,983.9062852391351,871.2539208164027,698.338061560427,937.0859877648901,836.3269806945693,1239.888698859467,1052.388881886975,1306.1397811091626,2232.2356607779666,921.636262401836,934.088338334293,0.0
